,spp,Subfamily,Tribe,long_aquenio,anch_aquenio,area_aquenio,pappus_type,nr_cerdas,long_cerda_max,dispersion,area,vol,PL,log_PL,loglog_PL,sqrt_PL
Shangwua-jacea,Shangwua_jacea,Carduoideae,Cardueae,6.352,1.459,7.918,Setose,38,14.76,viento,684.419835688704,5.30983418160032,0.007758153554216,-4.85901091714447,0.255731380282984,0.088080381210667
Echinops-strigosus,Echinops_strigosus,Carduoideae,Cardueae,15.55,5.03,62.023,Aristate,30,2.277,ambiguo,16.288306537254,154.499205050152,9.48528343006434,2.24974148486612,1.80622965031788,3.07981873331278
Gladdiopappus-vernonoidea,Gladdiopappus_vernonioidea,Carduoideae,Dicomeae,2,1.331,1.995,Paleaceous,17,1.734,viento,9.44600256073703,1.39138075574655,0.147298365850554,-1.91529504959713,0.147086672277106,0.383794692316808
Macledium-zeyheri,Macledium_zeyheri,Mutisioideae,Dicomeae,3.686,1.765,5.262,Setose,72,7.561,viento,179.600833908725,4.50925334414917,0.025107084658249,-3.68460521537074,0.290157571525459,0.158452152583198
Oldenburgia-grandis,Oldenburgia_grandis,Carduoideae,Oldenburgieae,11.46,1.644,17.299,Setose,23,30.154,viento,2856.53621036136,12.163207892841,0.004258026853746,-5.45894940587373,0.313975245773162,0.065253558169234
Myripnois-dioica,Myripnois_dioica,Asteroideae,Pertyeae,4.753,1.44,5.77,Setose,24,10.581,viento,351.725051151431,3.87037177754718,0.01100396961711,-4.50949919700051,0.230834939150373,0.10489980751703
Hecastocleis-shockleyi,Hecastocleis_shockleyi,Hecastoclesioideae,Hecastocleideae,6.204,1.799,11.01,Coroniform,8,1.199,ambiguo,4.51635674039334,7.8848602711976,1.74584527969027,0.557238839338754,1.36959391616828,1.32130438570765
Cyclolepis-genistoides,Cyclolepis_genistoides,Gochnatoideae,Gochnatieae,2.783,0.637,1.449,Setose,29,8.534,viento,228.799541456745,0.443457451376476,0.001938192045138,-6.24599967592471,-0.149673556330775,0.044024902556824
Nahuatlea-hypoleuca,Nahuatlea_hypoleuca,Gochnatioideae,Gochnatieae,2.651,0.617,1.494,Setose,20,7.233,viento,164.356469185481,0.396314481109648,0.002411310505954,-6.02758490086917,-0.181407370928614,0.049105096537471
Moquiniastrum-densicephalum,Moquiniastrum_densicephalum,Gochnatioideae,Gochnatieae,2.407,1.187,2.828,Setose,65,8.165,viento,209.441264295218,1.33179510368782,0.006358799960139,-5.05791560494616,0.053612269050637,0.079742083996716
Trichocline-cisplatina,Trichocline_cisplatina,Mutisioideae,Mutisieae,2.991,1.26,3.305,Setose,19,23.079,viento,1673.3386681319,1.86473614475574,0.001114380597399,-6.79945654645483,0.083949232224113,0.03338233960344
Trichocline-macrocephala,Trichocline_macrocephala,Mutisioideae,Mutisieae,9.864,2.189,21.357,Setose,75,30.065,viento,2839.69887280878,18.5611325612068,0.006536303105334,-5.03038354775462,0.367363001301722,0.080847406299361
Trichocline-reptans,Trichocline_reptans,Mutisioideae,Mutisieae,8.215,3.91,23.834,Setose,47,17.598,viento,972.918584819532,49.3197615559935,0.050692588589078,-2.98197556074558,0.566592243728333,0.225150146766725
Mutisia-sp,Mutisia_sp,Mutisioideae,Mutiseae,12.622,2.58,25.776,Setose,24,14.642,viento,673.520281039004,32.9934304771675,0.048986543391643,-3.01620964324811,0.536859691900731,0.221329038744678
Chaetanthera-sp,Chaetanthera_sp,Mutisioideae,Mutisieae,10.223,2.473,21.206,Setose,20,11.447,viento,411.654851726288,24.5519776013572,0.05964214315083,-2.819392854942,0.531676728672899,0.244217409598149
Perezia-sp,Perezia_sp,Mutisioideae,Nassauvieae,3.136,1.298,3.715,Setose,29,7.691,viento,185.829858158556,2.07484340470237,0.011165285407556,-4.49494583131584,0.139695544476548,0.105665914123503
Nassauvia-argentea,Nassauvia_argentea,Mutisioideae,Nassauvieae,3.318,2.279,5.982,Paleaceous,4,6.183,ambiguo,120.101481792892,6.76744784956571,0.056347746446634,-2.87621303136998,0.399329456004546,0.23737680267169
Dolichlasium-sp,Dolichlasium_sp,Mutisioideae,Nassauvieae,7.623,1.146,6.6,Setose,19,14.43,viento,654.157816134469,3.93147067627498,0.00600997279052,-5.11433505781303,0.211158407723706,0.0775240142828
Proustia-sp,Proustia_sp,Mutisioideae,Nassauvieae,2.233,0.646,1.316,Setose,36,7.405,viento,172.266170106759,0.365943169081287,0.002124289224298,-6.15431801524091,-0.19523582662449,0.046090012196765
Onoseris-sp,Onoseris_sp,Mutisioideae,Onoserideae,3.782,1.005,3.304,Setose,19,12.165,viento,464.91557888514,1.50007693595259,0.003226557688661,-5.73633944110756,0.066025059540408,0.05680279648627
Plazia-daphnoides,Plazia_daphnoides,Mutisioideae,Onoserideae,3.604,0.924,2.421,Setose,36,7.996,viento,200.8609181654,1.20833849243978,0.006015796914974,-5.11336645038881,0.035689249666377,0.077561568543795
Gongylolepis-benthamania,Gongylolepis_benthamania,Stifftioideae,Stifftieae,10.662,2.148,17.904,Setose,35,14.457,viento,656.608098183044,19.3182204603268,0.029421233930623,-3.52603862279094,0.456452728518006,0.171526190217771
Stifftia-parviflora,Stifftia_parviflora,Stifftioideae,Stifftieae,9.84,1.66,13.128,Setose,55,10.09,viento,319.839579035935,10.6480764409654,0.033291928627882,-3.40244029492246,0.410099386338114,0.182460759145308
Hyaloseris-rubicunda,Hyaloseris_rubicunda,Stifftioideae,Stifftieae,9.024,1.594,12.388,Setose,28,16.675,viento,873.537508789319,9.00400249065826,0.010307516734006,-4.57488186990594,0.324496512036156,0.10152594118749
Hyalis-argentea,Hyalis_argentea,Wunderlichioideae,Hyalideae,5.974,1.416,7.194,Setose,39,9.164,viento,263.827482730181,4.70382992482828,0.017829188507461,-4.0269183609044,0.277721078281627,0.133525984390534
Famatinanthus-decussatus,Famatinanthus_decussatus,Famatinanthoideae,Famatinantheae,6.475,2.151,9.514,Setose,42,10.512,viento,347.152723796321,11.7646897627702,0.033889089593558,-3.38466215729562,0.421402010602484,0.184089895414056
Barnadesia-arborea,Barnadesia_arborea,Barnedesiodieae,Barnadesieae,2.22,2.16,4.34,Setose,18,10,viento,314.159265358979,4.06743257497332,0.012947039995879,-4.3468880887099,0.244006324603807,0.1137850605127
Fulcaldea-stuessyi,Fulcaldea_stuessyi,Barnadesioideae,Barnadesieae,5.211,1.572,7.529,Setose,37,16.435,viento,848.573156926832,5.05691952360721,0.005959320633386,-5.12279879208894,0.240341658905212,0.077196636153304
Dasyphyllum-reticulatum,Dasyphyllum_reticulatum,Barnedesiodieae,Barnadesieae,8.138,3.479,20.792,Setose,23,16.354,viento,840.229372723829,38.6799967316786,0.046035044694621,-3.07835233135931,0.542842152450391,0.214557788706496
Schlechtendalia-luzulaefolia,Schlechtendalia_luzulaefolia,Barnedesiodieae,Barnadesieae,4.16,1.542,5.589,Paleaceous,16,9.344,viento,274.293510160056,3.88438227547255,0.014161407872136,-4.2572347696607,0.241702161244685,0.11900171373613
