,spp,Subfamily,Tribe,long_aquenio,anch_aquenio,area_aquenio,pappus_type,nr_cerdas,long_cerda_max,dispersion,area,vol,PL,log_PL,loglog_PL,sqrt_PL
Tanacetum-parthenium,Tanacetum_parthenium,Asteroideae,Anthemideae,1.102,0.417,0.396,Coroniform,6,0.181,ambiguo,0.102921716924255,0.075251227780495,0.731149430017118,-0.31313742149493,1.1377163336181,0.85507276299571
Matricaria-matricarioides,Matricaria_matricarioides,Asteroideae,Anthemideae,1.328,0.488,0.513,Coroniform,1,0.081,ambiguo,0.020611989400203,0.124193139188817,6.02525715746197,1.79596016020231,0.53734754509803,2.45463992419702
Anthemis-arvensis,Anthemis_arvensis,Asteroideae,Anthemideae,1.974,1.027,1.587,Epappose,0,0,ambiguo,0,0.817613250628761,8176132.50628761,15.916729798032,0.012493154109948,2859.39373054632
Rhodanthemum-arundanum,Rhodanthemum_arundanum,Asteroideae,Anthemideae,3.348,1.339,3.8,Coroniform,4,1.855,ambiguo,10.8102988608188,2.35725458450498,0.218056373190852,-1.52300165700377,0.360217553863148,0.466965066349563
Artemisia-vulgaris,Artemisia_vulgaris,Asteroideae,Anthemideae,2.319,0.835,1.516,Epappose,0,0,ambiguo,0,0.634941312373514,6349413.12373514,15.6638729451387,0.02818091638466,2519.80418360934
Leucanthemella-serotina,Leucanthemella_serotina,Asteroideae,Anthemideae,2.593,0.64,1.654,Epappose,0,0,ambiguo,0,0.417082867238827,4170828.67238827,15.2436252964276,0.054253949937241,2042.26067689418
Pentzia-incana,Pentzia_incana,Asteroideae,Anthemideae,1.225,0.421,0.446,Coroniform,3,0.642,ambiguo,1.29485139447418,0.08526291297572,0.065847638389099,-2.72041171492724,-9.52807157769344,0.256607946854923
Werneria-aretioides,Werneria_aretioides,Asteroideae,Senecioneae,2.843,1.204,2.72,Setose,28,5.242,viento,86.326454793597,1.61841434514086,0.018747605784758,-3.97668922619854,0.107992860728536,0.13692189665922
Packera-anonyma,Packera_anonyma,Asteroideae,Senecioneae,0.797,0.191,0.125,Setose,20,2.326,viento,16.9968833354932,0.011417865993963,0.000671762328505,-7.30560595781915,-1.57872523694085,0.025918378199753
Senecio-vulgaris,Senecio_vulgaris,Asteroideae,Senecioneae,2.753,0.571,1.291,Setose,24,6.258,viento,123.03282335814,0.352483111568256,0.002864951820667,-5.85520374547779,-0.21667805655299,0.053525244704415
Cacaliopsis-nardosmia,Cacaliopsis_nardosmia,Asteroideae,Senecioneae,6.788,1.717,9.979,Setose,34,12.413,viento,484.064666816642,7.85854799073276,0.016234500321599,-4.12061665175138,0.333472822579256,0.127414678595516
Brachyglottis-repanda,Brachyglottis_repanda,Asteroideae,Senecioneae,0.909,0.243,0.22,Setose,26,3.01,viento,28.4631436007889,0.021078335660382,0.000740548404701,-7.20811955880256,-1.15257060627569,0.027213019029512
Calendula-arvensis,Calendula_arvensis,Asteroideae,Calenduleae,3.686,2.898,7.22,Epappose,0,0,ambiguo,0,12.1565958550396,121565958.550396,18.6159675421725,-0.154973139836508,11025.6953771813
Helianthus-annuus,Helianthus_annuus,Asteroideae,Heliantheae,12.689,6.457,67.539,Aristate,2,4.337,ambiguo,59.0920037875903,207.753742470763,3.51576742711195,1.25725783062487,1.30821974981627,1.87503798017852
Helianthus-argophyllus,Helianthus_argophyllus,Asteroideae,Heliantheae,4.504,2.327,9.747,Aristate,2,2.3,ambiguo,16.61902513749,9.57747515652011,0.576295842846112,-0.551134134089545,0.803905107801019,0.759141517008596
Helianthus-niveus,Helianthus_niveus_spp_tephrodes,Asteroideae,Heliantheae,4.198,1.053,4.061,Aristate,2,1.033,ambiguo,3.35235896312648,1.82792790298082,0.545266144992254,-0.606481264082461,0.498636715896381,0.738421387144396
Tithonia-rotundifolia,Tithonia_rotundifolia,Asteroideae,Heliantheae,6.927,3.204,17.554,Coroniform,9,5.073,ambiguo,80.8499205241164,27.9248010816343,0.345390581290252,-1.06307938263311,0.757983725244474,0.587699397047718
Spilanthes-sp,Spilanthes_sp,Asteroideae,Helenieae,2.11,0.816,1.368,Aristate,2,0.714,ambiguo,1.60157136842946,0.551724993858966,0.344489774408881,-1.06569087138149,-1.26268386175643,0.586932512652759
Heliopsis-helianthoides,Heliopsis_helianthoides,Asteroideae,Heliantheae,3.828,1.208,4.047,Epappose,0,0,ambiguo,0,2.19364165018999,21936416.5018999,16.9036586677438,-0.048737954768175,4683.6328316703
Lipochaeta-subcordata,Lipochaeta_subcordata,Asteroideae,Heliantheae,2.46,1.584,2.812,Aristate,4,0.862,ambiguo,2.33434157169397,2.42384780834146,1.038343203025,0.03762636884716,1.04438485455364,1.01899126739389
Lipochaeta-venosa,Lipochaeta_venosa,Asteroideae,Heliantheae,2.788,1.583,3.222,Aristate,1,0.974,ambiguo,2.98035355223695,2.74356014187935,0.920548519408134,-0.08278556985767,0.924191952114755,0.959452197562825
Lipochaeta-micrantha,Lipochaeta_micrantha,Asteroideae,Heliantheae,2.828,1.83,3.898,Aristate,2,0.306,ambiguo,0.294166169711534,3.71913095189402,12.6429551407817,2.5371001541768,-1.0734546859069,3.55569334178044
Wollastonia-biflora,Wollastonia_biflora,Asteroideae,Heliantheae,3.756,2.206,6.218,Aristate,1,2.512,ambiguo,19.8239020334937,7.17788482598612,0.362082337657359,-1.01588364092752,0.659885637182516,0.601732779277778
Lipochaeta-lobata,Lipochaeta_lobata,Asteroideae,Heliantheae,2.796,0.801,1.941,Aristate,4,0.929,ambiguo,2.71132326534679,0.704469321353485,0.259824899662376,-1.34774733768159,-0.351210703672446,0.509730222433765
Montanoa-tomentosa,Montanoa_tomentosa,Asteroideae,Heliantheae,3.575,0.946,3.072,Epappose,0,0,ambiguo,0,1.25637187174605,12563718.7174605,16.3463237514133,-0.014159743520411,3544.53363892353
