spp,Subfamily,Tribe,long_aquenio,anch_aquenio,area_aquenio,tipo_cerda,nr_cerdas,long_cerda_max,dispersion
Mutisia_sp,Mutisioideae,Mutiseae,12.622,2.58,25.776,2,24,14.642,viento
Myripnois_dioica,Asteroideae,Pertyeae,4.753,1.44,5.77,3,24,10.581,viento
Nabalus_albus,Cichorioideae,Cichorieae,5.206,1.05,4.393,1,46,6.967,viento
Nabalus_sagittatus,Cichorioideae,Cichorieae,5.213,0.803,3.785,3,40,6.892,viento
Nahuatlea_hypoleuca,Gochnatioideae,Gochnatieae,2.651,0.617,1.494,3,20,7.233,viento
Nassauvia_argentea,Mutisioideae,Nassauvieae,3.318,2.279,5.982,5,4,6.183,ambiguo
Nastanthus_patagonicus,Calyceraceae(outgroup),Calyceraceae(outgroup),2.822,1.035,2.446,0,0,0,ambiguo
Oldenburgia_grandis,Carduoideae,Oldenburgieae,11.46,1.644,17.299,3,23,30.154,viento
Onoseris_sp,Mutisioideae,Onoserideae,3.782,1.005,3.304,3,19,12.165,viento
Packera_anonyma,Asteroideae,Senecioneae,0.797,0.191,0.125,1,20,2.326,viento
Pallenis_maritimus,Asteroideae,Inuleae,1.339,0.594,0.646,8,9,0.711,ambiguo
Pallenis_spinosa,Asteroideae,Inuleae,1.896,0.635,0.939,8,6,0.516,ambiguo
Parastrephia_lucida,Asteroideae,Astereae,2.487,0.692,1.464,3,35,5.189,viento
Pentzia_incana,Asteroideae,Anthemideae,1.225,0.421,0.446,8,3,0.642,ambiguo
Perezia_sp,Mutisioideae,Nassauvieae,3.136,1.298,3.715,3,29,7.691,viento
Phagnalon_sordidum,Asteroideae,Gnaphalieae,0.85,0.214,0.157,1,28,7,viento
Platycarpha_glomerata,Cichorioideae,Platycarpheae,3.749,1.293,4.201,5,9,4.629,ambiguo
Plazia_daphnoides,Mutisioideae,Onoserideae,3.604,0.924,2.421,3,36,7.996,viento
Porophyllum_ruderale,Asteroideae,Tageteae,9.08,0.765,5.811,3,26,9.762,viento
Proustia_sp,Mutisioideae,Nassauvieae,2.233,0.646,1.316,3,36,7.405,viento
Pseudognaphalium_obtusifolium,Asteroideae,Gnaphalieae,0.636,0.249,0.151,3,22,3.573,viento
Pteronia_camphorata,Asteroideae,Astereae,4.449,2.469,8.827,3,38,7,viento
Rhodanthemum_arundanum,Asteroideae,Anthemideae,3.348,1.339,3.8,8,4,1.855,ambiguo
Rojasianthe_superba,Asteroideae,Heliantheae,6,2.957,12.571,4,10,2.55,ambiguo
Schkuhria_pinnata,Asteroideae,Bahieae,3.35,0.869,1.732,5,8,1.833,ambiguo
Schlechtendalia_luzulaefolia,Barnedesiodieae,Barnadesieae,4.16,1.542,5.589,5,16,9.344,viento
Scolymus_hispanicus,Cichorioideae,Cichorieae,3.144,1.584,3.624,4,2,5.343,ambiguo
Senecio_vulgaris,Asteroideae,Senecioneae,2.753,0.571,1.291,3,24,6.258,viento
Shangwua_jacea,Carduoideae,Cardueae,6.352,1.459,7.918,2,38,14.76,viento
Silybum_marianum,Carduoideae,Cardueae,7.321,3.338,17.935,3,57,17.537,viento
Solidago_canadensis,Asteroideae,Astereae,0.895,0.334,0.243,3,28,1.648,viento
Spilanthes_sp,Asteroideae,Helenieae,2.11,0.816,1.368,4,2,0.714,ambiguo
Stevia_sp,Asteroideae,Eupatorieae,3.55,0.607,1.714,5,4,1.167,ambiguo
Stifftia_parviflora,Stifftioideae,Stifftieae,9.84,1.66,13.128,1,55,10.09,viento
Stilpnopappus_tomentosus,Cichorioideae,Vernonieae,1.232,0.836,0.691,5,8,4.793,viento
Stokesia_laevis,Cichorioideae,Vernonieae,6.758,2.414,12.196,0,0,0,ambiguo
Strophopappus_speciosus,Cichorioideae,Vernonieae,1.984,1.289,2.023,5,32,9,viento
Symphyotrichum_novae-angliae,Asteroideae,Astereae,2.948,0.642,1.531,1,25,5.459,viento
Tanacetum_parthenium,Asteroideae,Anthemideae,1.102,0.417,0.396,8,6,0.181,ambiguo
Tessaria_sp,Asteroideae,Inuleae,0.437,0.219,0.076,3,17,3.434,viento
Thymophylla_sp,Asteroideae,Tageteae,2.149,0.242,0.421,5,16,2.35,viento
Tithonia_rotundifolia,Asteroideae,Heliantheae,6.927,3.204,17.554,8,9,5.073,ambiguo
Tragopogon_dubius,Cichorioideae,Cichorieae,12.772,1.842,17.537,2,24,32.372,viento
Tragopogon_pratensis,Cichorioideae,Cichorieae,8.879,1.654,10.691,2,28,20.35,viento
Trichanthodium_skirrophorum,Asteroideae,Gnaphalieae,1.302,0.64,0.58,8,4,0.953,ambiguo
Trichocline_cisplatina,Mutisioideae,Mutisieae,2.991,1.26,3.305,3,19,23.079,viento
Trichocline_macrocephala,Mutisioideae,Mutisieae,9.864,2.189,21.357,3,75,30.065,viento
Trichocline_reptans,Mutisioideae,Mutisieae,8.215,3.91,23.834,3,47,17.598,viento
Verbesina_alternifolia,Asteroideae,Heliantheae,4.898,2.848,9.627,4,2,1.125,ambiguo
Werneria_aretioides,Asteroideae,Senecioneae,2.843,1.204,2.72,3,28,5.242,viento
Wollastonia_biflora,Asteroideae,Heliantheae,3.756,2.206,6.218,4,1,2.512,ambiguo
